timestep,demand_kw,effective_demand_kw,battery_soc,battery_charged_kw,curtailed_energy_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
86,85.4196,85.4195,0.05,0.0,0.0,0.11503,93.6065,0.097775,85.4195,85.4195,0.0,8.351892,69.6437,0.097775,0.0,0.0,0.0,0.0,0.0,4e-06,8.351896,100.0,honest,honest
87,85.3884,85.3884,0.05,0.0,0.0,0.12785,9.1413,0.108672,9.1413,9.1413,0.0,0.993403,70.6963,0.108672,70.6963,70.6963,0.0,7.682708,5.5508,0.709667,9.385778,93.5,honest,honest
88,109.2483,109.2483,0.05,0.0,0.0,0.15785,3.8657,0.134173,3.8657,3.8657,0.0,0.518673,69.8833,0.134173,69.8833,69.8833,0.0,9.376452,35.4993,5.60356,15.498685,67.51,honest,honest
89,114.5578,114.5578,0.05,0.0,0.0,0.17448,5.0425,0.148308,5.0425,5.0425,0.0,0.747843,66.1864,0.148308,66.1864,66.1864,0.0,9.815973,43.3289,7.560033,18.123848,62.18,honest,honest
90,114.5791,114.5791,0.05,0.0,0.0,0.17756,10.5725,0.150926,10.5725,10.5725,0.0,1.595665,58.7925,0.150926,58.7925,58.7925,0.0,8.873317,45.2141,8.028213,18.497195,60.54,honest,honest
91,96.186,96.186,0.05,0.0,0.0,0.16941,1.6471,0.143999,1.6471,1.6471,0.0,0.237181,65.8744,0.143999,65.8744,65.8744,0.0,9.485848,28.6645,4.856054,14.579082,70.2,honest,honest
92,96.1404,96.1404,0.05,0.0,0.0,0.15893,8.3746,0.13509,8.3746,8.3746,0.0,1.131325,62.1318,0.13509,62.1318,62.1318,0.0,8.393385,25.634,4.074013,13.598722,73.34,honest,honest
93,95.9671,95.9671,0.05,0.0,0.0,0.15439,1.6612,0.131232,1.6612,1.6612,0.0,0.218003,61.4624,0.131232,61.4624,61.4624,0.0,8.065834,32.8435,5.070712,13.354548,65.78,honest,honest
94,95.6961,95.6961,0.05,0.0,0.0,0.15045,0.8706,0.127883,0.8706,0.8706,0.0,0.111335,54.0232,0.127883,54.0232,54.0232,0.0,6.908649,40.8023,6.138704,13.158688,57.36,honest,honest
95,97.7213,97.7213,0.05,0.0,0.0,0.14383,1.0577,0.122256,1.0577,1.0577,0.0,0.12931,50.2478,0.122256,50.2478,50.2478,0.0,6.143095,46.4158,6.675987,12.948392,52.5,honest,honest
96,55.8191,55.8191,0.05,0.0,0.0,0.16202,0.0,0.137717,0.0,0.0,0.0,0.0,47.244,0.137717,47.244,47.244,0.0,6.506302,8.5751,1.389333,7.895634,84.64,honest,honest
97,36.5409,36.5409,0.05,0.0,0.0,0.1315,0.0,0.111775,0.0,0.0,0.0,0.0,47.1248,0.111775,36.5409,36.5409,0.0,4.084359,0.0,0.0,4.084359,100.0,honest,honest
98,36.5789,36.5789,0.05,0.0,0.0,0.12795,0.0,0.121553,0.0,0.0,0.0,0.0,46.1074,0.108758,36.5789,36.5789,0.0,3.978248,0.0,1e-06,3.978249,100.0,honest,honest
99,36.6056,36.6056,0.05,0.0,0.0,0.11013,0.0,0.088104,0.0,0.0,0.0,0.0,45.2232,0.09361,36.6056,36.6056,0.0,3.42665,0.0,0.0,3.42665,100.0,honest,honest
100,36.9775,36.9775,0.05,0.0,0.0,0.10735,0.0,0.091247,0.0,0.0,0.0,0.0,47.1974,0.091247,36.9775,36.9775,0.0,3.374086,0.0,0.0,3.374086,100.0,honest,honest
101,56.0775,56.0774,0.05,0.0,0.0,0.0988,0.0,0.07904,0.0,0.0,0.0,0.0,26.6118,0.09386,26.6118,26.6118,0.0,2.497784,29.4656,2.911203,5.408987,47.46,honest,honest
102,95.9866,95.9866,0.05,0.0,0.0,0.09434,0.0,0.075472,0.0,0.0,0.0,0.0,27.3374,0.089623,27.3374,27.3374,0.0,2.45006,68.6492,6.476361,8.926421,28.48,honest,honest
103,112.0118,112.0118,0.05,0.0,0.0,0.10338,0.0,0.087873,0.0,0.0,0.0,0.0,52.2272,0.087873,52.2272,52.2272,0.0,4.589361,59.7846,6.180534,10.769895,46.63,honest,honest
104,104.0844,104.0844,0.05,0.0,0.0,0.10773,1.2423,0.09157,1.2423,1.2423,0.0,0.113757,41.5968,0.09157,41.5968,41.5968,0.0,3.809019,61.2453,6.597951,10.520728,41.16,honest,honest
105,85.366,85.366,0.05,0.0,0.0,0.16373,2.392,0.13917,2.392,2.392,0.0,0.332895,35.7143,0.13917,35.7143,35.7143,0.0,4.970359,47.2597,7.737838,13.041092,44.64,honest,honest
106,104.0884,104.0884,0.05,0.0,0.0,0.1145,4.9951,0.097325,4.9951,4.9951,0.0,0.486148,39.6141,0.097325,39.6141,39.6141,0.0,3.855442,59.4792,6.810366,11.151957,42.86,honest,honest
107,106.0183,106.0183,0.05,0.0,0.0,0.08966,22.947,0.071728,22.947,17.6515,5.2955,1.266107,26.2154,0.085177,26.2154,26.2154,0.0,2.232949,62.1514,5.572491,9.071547,41.38,honest,honest
108,104.2108,104.2108,0.05,0.0,0.0,0.08488,36.8745,0.067904,36.8745,28.365,8.5095,1.926097,25.3654,0.080636,25.3654,25.3654,0.0,2.045364,50.4804,4.284781,8.256242,51.56,honest,honest
109,85.4021,85.4021,0.05,0.0,0.0,0.07392,32.4526,0.059136,32.4526,24.9636,7.489,1.476247,24.9358,0.070224,24.9358,24.9358,0.0,1.751092,35.5027,2.624357,5.851696,58.43,honest,honest
110,85.4037,85.4037,0.05,0.0,0.0,0.06787,24.0707,0.054296,24.0707,18.5159,5.5548,1.005339,24.3282,0.064476,24.3282,24.3282,0.0,1.568585,42.5596,2.888518,5.462442,50.17,honest,honest
111,85.3733,85.3733,0.05,0.0,0.0,0.06885,19.7837,0.05508,19.7837,15.2182,4.5655,0.838218,22.0616,0.065407,22.0616,22.0616,0.0,1.442983,48.0935,3.311236,5.592437,43.67,honest,honest
112,109.2322,109.2322,0.05,0.0,0.0,0.10296,0.3577,0.087516,0.3577,0.3577,0.0,0.031304,29.1397,0.087516,29.1397,29.1397,0.0,2.55019,79.7348,8.209496,10.790991,27.0,honest,honest
113,114.5411,114.5411,0.05,0.0,0.0,0.10652,1.3215,0.090542,1.3215,1.3215,0.0,0.119651,28.0241,0.090542,28.0241,28.0241,0.0,2.537358,85.1955,9.075028,11.732037,25.62,honest,honest
114,114.5585,114.5585,0.05,0.0,0.0,0.10912,1.8934,0.092752,1.8934,1.8934,0.0,0.175617,29.9842,0.092752,29.9842,29.9842,0.0,2.781095,82.6809,9.022137,11.978848,27.83,honest,honest
115,96.1684,96.1684,0.05,0.0,0.0,0.10745,0.3387,0.091332,0.3387,0.3387,0.0,0.030934,29.6011,0.091332,29.6011,29.6011,0.0,2.703528,66.2286,7.116267,9.850729,31.13,honest,honest
116,96.1234,96.1234,0.05,0.0,0.0,0.10774,2.6874,0.091579,2.6874,2.6874,0.0,0.246109,33.4549,0.091579,33.4549,33.4549,0.0,3.063766,59.9811,6.46236,9.772236,37.6,honest,honest
