datetime;generacion_mwh;precio_base_eur_mwh;multiplicador;precio_eur_mwh
2025-07-04T18:00:00+02:00;4404.777;206.43;1.0833;223.636
2025-07-04T19:00:00+02:00;5503.333;225.61;1.0401;234.667
2025-07-04T20:00:00+02:00;7013.173;231.37;0.9808;226.919
2025-07-04T21:00:00+02:00;8315.017;260.44;0.9296;242.096
2025-07-04T22:00:00+02:00;8251.635;193.33;0.9321;180.195
2025-07-04T23:00:00+02:00;7910.009;175.73;0.9455;166.151
2025-07-05T00:00:00+02:00;8661.619;171.73;0.9159;157.293
2025-07-05T01:00:00+02:00;8431.193;156.66;0.925;144.91
2025-07-05T02:00:00+02:00;8315.451;147.52;0.9295;137.127
2025-07-05T03:00:00+02:00;8600.072;141.31;0.9184;129.773
2025-07-05T04:00:00+02:00;7226.459;141.42;0.9724;137.513
2025-07-05T05:00:00+02:00;6868.797;140.96;0.9864;139.049
2025-07-05T06:00:00+02:00;6377.299;144.53;1.0058;145.364
2025-07-05T07:00:00+02:00;6133.56;146.63;1.0154;148.882
2025-07-05T08:00:00+02:00;4764.528;134.83;1.0692;144.16
2025-07-05T09:00:00+02:00;3538.479;73.19;1.1174;81.784
2025-07-05T10:00:00+02:00;3272.551;34.85;1.1279;39.307
2025-07-05T11:00:00+02:00;2860.153;31.41;1.1441;35.936
2025-07-05T12:00:00+02:00;2739.34;31.98;1.1488;36.74
2025-07-05T13:00:00+02:00;2891.957;33.79;1.1428;38.617
2025-07-05T14:00:00+02:00;3208.684;33.87;1.1304;38.286
2025-07-05T15:00:00+02:00;3660.445;34.04;1.1126;37.874
2025-07-05T16:00:00+02:00;4105.919;34.51;1.0951;37.792
2025-07-05T17:00:00+02:00;5510.571;59.16;1.0399;61.518
2025-07-05T18:00:00+02:00;6827.798;76.99;0.9881;76.07
2025-07-05T19:00:00+02:00;8001.521;136.21;0.9419;128.295
2025-07-05T20:00:00+02:00;9285.921;147.92;0.8914;131.853
2025-07-05T21:00:00+02:00;9048.682;171.14;0.9007;154.148
2025-07-05T22:00:00+02:00;9535.247;174.27;0.8816;153.632
2025-07-05T23:00:00+02:00;9333.646;158.73;0.8895;141.191
2025-07-06T00:00:00+02:00;8261.179;155.85;0.9317;145.203
2025-07-06T01:00:00+02:00;7185.061;149.86;0.974;145.964
2025-07-06T02:00:00+02:00;6109.343;147.84;1.0163;150.251
2025-07-06T03:00:00+02:00;5496.97;145.06;1.0404;150.92
2025-07-06T04:00:00+02:00;5474.42;145.0;1.0413;150.986
2025-07-06T05:00:00+02:00;5081.513;145.83;1.0567;154.103
2025-07-06T06:00:00+02:00;4306.733;146.4;1.0872;159.167
2025-07-06T07:00:00+02:00;3731.237;143.23;1.1098;158.962
2025-07-06T08:00:00+02:00;2733.115;99.6;1.1491;114.45
2025-07-06T09:00:00+02:00;1703.528;48.18;1.1896;57.314
2025-07-06T10:00:00+02:00;1277.517;41.85;1.2;50.22
2025-07-06T11:00:00+02:00;1248.73;40.22;1.2;48.264
2025-07-06T12:00:00+02:00;1233.511;39.67;1.2;47.604
2025-07-06T13:00:00+02:00;1471.557;41.61;1.1987;49.878
2025-07-06T14:00:00+02:00;1953.325;41.65;1.1798;49.137
2025-07-06T15:00:00+02:00;2578.596;39.11;1.1552;45.179
2025-07-06T16:00:00+02:00;3415.201;40.61;1.1223;45.575
2025-07-06T17:00:00+02:00;4321.484;40.33;1.0866;43.824
2025-07-06T18:00:00+02:00;5911.135;45.22;1.0241;46.31
2025-07-06T19:00:00+02:00;7154.768;77.77;0.9752;75.841
2025-07-06T20:00:00+02:00;7963.108;136.72;0.9434;128.982
2025-07-06T21:00:00+02:00;8118.263;153.09;0.9373;143.492
2025-07-06T22:00:00+02:00;7626.226;156.0;0.9567;149.238
2025-07-06T23:00:00+02:00;7357.41;154.09;0.9672;149.04
2025-07-07T00:00:00+02:00;7231.933;149.15;0.9722;144.998
2025-07-07T01:00:00+02:00;6862.16;140.33;0.9867;138.464
2025-07-07T02:00:00+02:00;6561.12;137.4;0.9985;137.2
2025-07-07T03:00:00+02:00;6383.428;133.92;1.0055;134.661
2025-07-07T04:00:00+02:00;6241.587;130.1;1.0111;131.545
2025-07-07T05:00:00+02:00;6123.686;139.2;1.0157;141.392
2025-07-07T06:00:00+02:00;6019.109;147.99;1.0199;150.929
2025-07-07T07:00:00+02:00;5704.349;149.22;1.0322;154.031
2025-07-07T08:00:00+02:00;5260.782;160.69;1.0497;168.674
2025-07-07T09:00:00+02:00;5000.217;124.15;1.0599;131.59
2025-07-07T10:00:00+02:00;4436.92;166.37;1.0821;180.026
2025-07-07T11:00:00+02:00;4162.747;145.21;1.0929;158.695
2025-07-07T12:00:00+02:00;4770.573;142.03;1.069;151.825
2025-07-07T13:00:00+02:00;5472.975;129.88;1.0413;135.249
2025-07-07T14:00:00+02:00;6428.747;64.51;1.0037;64.752
2025-07-07T15:00:00+02:00;7272.007;63.27;0.9706;61.409
2025-07-07T16:00:00+02:00;7430.745;61.07;0.9643;58.892
2025-07-07T17:00:00+02:00;8110.884;61.95;0.9376;58.084
2025-07-07T18:00:00+02:00;9022.362;131.19;0.9017;118.3
2025-07-07T19:00:00+02:00;11461.873;169.14;0.8058;136.294
2025-07-07T20:00:00+02:00;12610.021;215.37;0.7606;163.821
2025-07-07T21:00:00+02:00;12723.775;246.88;0.7562;186.684
2025-07-07T22:00:00+02:00;13346.981;181.26;0.7317;132.622
2025-07-07T23:00:00+02:00;13562.619;173.51;0.7232;125.48
